Date,Nitrate concentration,Plate,Mode,Ecotype,Seed number for the specific concentration,Annotation,Annotator,Seed number on the plate ,"Image number
on the plate ",Stitched,reason for unusability of images ,Comment,Split_1,Split_2,Split_3
20240918,N4,1,L,Shahdara,_005,yes,Roberto Zarazua,000017,000017,no_need,,,testing,testing,training
20240918,N4,1,L,Shahdara,_006,yes,Roberto Zarazua,000018,000018,no_need,,,testing,testing,training
20240918,N16,2,L,Pu2-23,_001,yes,Roberto Zarazua,000001,000001,no_need,,,ignore,training,training
20240918,N16,2,L,Pu2-23,_002,yes,Roberto Zarazua,000002,000002,no_need,,,ignore,training,training
20240918,N16,2,L,Pu2-23,_003,yes,Roberto Zarazua,000003,000003,no_need,,,ignore,training,training
20240918,N16,2,L,Pu2-23,x,yes,Roberto Zarazua,000004,000004,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20240918,N16,2,L,Pu2-23,x,yes,Roberto Zarazua,000005,000005,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20240918,N16,2,L,Pu2-23,x,yes,Roberto Zarazua,000006,000006,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20240918,N16,2,L,Ws-0,x,yes,Roberto Zarazua,000007,000007,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240918,N16,2,L,Ws-0,_001,yes,Roberto Zarazua,000008,000008,no_need,,,ignore,training,training
20240918,N16,2,L,Ws-0,_002,yes,Roberto Zarazua,000009,000009,no_need,,,ignore,training,training
20240918,N16,2,L,Ws-0,_003,yes,Roberto Zarazua,000010,000010,no_need,,,ignore,training,training
20240918,N16,2,L,Ws-0,_004,yes,Roberto Zarazua,000011,000011,no_need,,,ignore,training,training
20240918,N16,2,L,Ws-0,_005,yes,Roberto Zarazua,000012,000012,no_need,,,ignore,training,training
20240918,N16,2,L,Shahdara,_001,yes,Roberto Zarazua,000013,000013,no_need,,,ignore,training,training
20240918,N16,2,L,Shahdara,_002,yes,Roberto Zarazua,000014,000014,no_need,,,ignore,training,training
20240918,N16,2,L,Shahdara,_003,yes,Roberto Zarazua,000015,000015,no_need,,,ignore,training,training
20240918,N16,2,L,Shahdara,_004,yes,Roberto Zarazua,000016,000016,no_need,,,ignore,training,training
20240918,N16,2,L,Shahdara,_005,yes,Roberto Zarazua,000017,000017,no_need,,,ignore,training,training
20240918,N16,2,L,Shahdara,_006,yes,Roberto Zarazua,000018,000018,no_need,,,ignore,training,training
20240918,N32,3,L,Pu2-23,_001,yes,Roberto Zarazua,000001,000001,no_need,,,ignore,training,training
20240918,N32,3,L,Pu2-23,_002,yes,Roberto Zarazua,000002,000002,no_need,,,ignore,training,training
20240918,N32,3,L,Pu2-23,_003,yes,Roberto Zarazua,000003,000003,no_need,,,ignore,training,training
20240918,N32,3,L,Pu2-23,_004,yes,Roberto Zarazua,000004,000004,no_need,,,ignore,training,training
20240918,N32,3,L,Pu2-23,_005,yes,Roberto Zarazua,000005,000005,no_need,,,ignore,training,training
20240918,N32,3,L,Pu2-23,_006,yes,Roberto Zarazua,000006,000006,no_need,,,ignore,training,training
20240918,N32,3,L,Ws-0,x,yes,Roberto Zarazua,000007,000007,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20240918,N32,3,L,Ws-0,_001,yes,Roberto Zarazua,000008,000008,no_need,,,ignore,training,training
20240918,N32,3,L,Ws-0,_002,yes,Roberto Zarazua,000009,000009,no_need,,,ignore,training,training
20240918,N32,3,L,Ws-0,_003,yes,Roberto Zarazua,000010,000010,no_need,,,ignore,training,training
20240918,N32,3,L,Ws-0,_004,yes,Roberto Zarazua,000011,000011,no_need,,,ignore,training,training
20240918,N32,3,L,Ws-0,_005,yes,Roberto Zarazua,000012,000012,no_need,,,ignore,training,training
20240918,N32,3,L,Shahdara,_001,yes,Roberto Zarazua,000013,000013,no_need,,,ignore,training,training
20240918,N32,3,L,Shahdara,_002,yes,Roberto Zarazua,000014,000014,no_need,,,ignore,training,training
20240918,N32,3,L,Shahdara,_003,yes,Roberto Zarazua,000015,000015,no_need,,,ignore,training,training
20240918,N32,3,L,Shahdara,_004,yes,Roberto Zarazua,000016,000016,no_need,,,ignore,training,training
20240918,N32,3,L,Shahdara,_005,yes,Roberto Zarazua,000017,000017,no_need,,,ignore,training,training
20240918,N32,3,L,Shahdara,_006,yes,Roberto Zarazua,000018,000018,no_need,,,ignore,training,training
20240918,N64,4,L,Pu2-23,_001,yes,Roberto Zarazua,000001,000001,no_need,,,ignore,training,training
20240918,N4,6,L,Pu2-23,_006,yes,Roberto Zarazua,000001,000001,no_need,,,testing,testing,training
20240918,N4,6,L,Pu2-23,x,yes,Roberto Zarazua,000002,000002,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240918,N4,6,L,Pu2-23,_007,yes,Roberto Zarazua,000003,000003,no_need,,,testing,testing,training
20240918,N4,6,L,Pu2-23,_008,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,training
20240918,N4,6,L,Pu2-23,_009,yes,Jonas Siegemund,000005,000005,no_need,,,testing,testing,training
20240918,N4,6,L,Pu2-23,x,yes,Jonas Siegemund,000006,000006,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20240918,N4,6,L,Shahdara,_007,yes,Jonas Siegemund,000007,000007,no_need,,,testing,testing,training
20240918,N4,6,L,Shahdara,_008,yes,Jonas Siegemund,000008,000008,no_need,,,testing,testing,training
20240918,N4,6,L,Shahdara,_009,yes,Jonas Siegemund,000009,000009,no_need,,,testing,testing,training
20240918,N4,6,L,Shahdara,_010,yes,Jonas Siegemund,000010,000010,no_need,,,testing,testing,training
20240918,N4,6,L,Shahdara,x,yes,Jonas Siegemund,000011,000011,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20240918,N4,6,L,Shahdara,_011,yes,Jonas Siegemund,000012,000012,no_need,,,ignore,training,training
20240918,N4,6,L,Ws-0,_004,yes,Jonas Siegemund,000013,000013,no_need,,,testing,testing,training
20240918,N4,6,L,Ws-0,_005,yes,Jonas Siegemund,000014,000014,no_need,,,testing,testing,training
20240918,N4,6,L,Ws-0,_006,yes,Jonas Siegemund,000015,000015,no_need,,,testing,testing,training
20240918,N4,6,L,Ws-0,_007,yes,Jonas Siegemund,000016,000016,no_need,,,testing,testing,training
20240918,N4,6,L,Ws-0,x,yes,Jonas Siegemund,000017,000017,no_need,1. no germination of seedling,,ignore,ignore,ignore
20240918,N4,6,L,Ws-0,x,yes,Jonas Siegemund,000018,000018,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20240918,N4,11,L,Ws-0,_008,yes,Jonas Siegemund,000001,000001,no_need,,,testing,testing,training
20240918,N4,11,L,Ws-0,_009,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,training
20240918,N4,11,L,Ws-0,_010,yes,Jonas Siegemund,000003,000003,no_need,,,testing,testing,training
20240918,N4,11,L,Pu2-23,_010,yes,Jonas Siegemund,000013,000013,no_need,,,testing,testing,training
20240925,N4,1,L,St-0,x,yes,Jonas Siegemund,000001,000001,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240925,N4,1,L,St-0,_001,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,testing
20240925,N4,1,L,St-0,_002,yes,Jonas Siegemund,000003,000003,no_need,,,testing,testing,testing
20240925,N4,1,L,St-0,_003,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,testing
20240925,N4,1,L,St-0,_004,yes,Jonas Siegemund,000005,000005,no_need,,,testing,testing,training
20240925,N4,1,L,St-0,_005,yes,Jonas Siegemund,000006,000006,no_need,,,testing,testing,training
20240925,N4,1,L,Uk-1,_001,yes,Jonas Siegemund,000007,000007,no_need,,,testing,testing,testing
20240925,N4,1,L,Uk-1,_002,yes,Jonas Siegemund,000008,000008,no_need,,,testing,testing,testing
20240925,N4,1,L,Uk-1,_003,yes,Jonas Siegemund,000009,000009,no_need,,,testing,testing,testing
20240925,N4,1,L,Uk-1,_004,yes,Jonas Siegemund,000010,000010,no_need,,,testing,testing,training
20240925,N4,1,L,Uk-1,_005,yes,Jonas Siegemund,000011,000011,no_need,,,testing,testing,training
20240925,N4,1,L,Uk-1,_006,yes,Jonas Siegemund,000012,000012,no_need,,,testing,testing,training
20240925,N4,1,L,Oy-0,_001,yes,Jonas Siegemund,000013,000013,no_need,,,testing,testing,testing
20240925,N4,1,L,Oy-0,_002,yes,Jonas Siegemund,000014,000014,no_need,,,testing,testing,testing
20240925,N4,1,L,Oy-0,_003,yes,Jonas Siegemund,000015,000015,no_need,,,testing,testing,testing
20240925,N4,1,L,Oy-0,x,yes,Jonas Siegemund,000016,000016,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240925,N4,1,L,Oy-0,_004,yes,Jonas Siegemund,000017,000017,no_need,,,testing,testing,training
20240925,N4,1,L,Oy-0,_005,yes,Jonas Siegemund,000018,000018,no_need,,,testing,testing,training
20240925,N4,6,L,Oy-0,x,yes,Jonas Siegemund,000001,000001,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240925,N4,6,L,Oy-0,_006,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,training
20240925,N4,6,L,Oy-0,x,yes,Jonas Siegemund,000003,000003,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240925,N4,6,L,Oy-0,_007,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,training
20240925,N4,6,L,Oy-0,x,yes,Boyana Kozhuharova,000005,000005,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20240925,N4,6,L,Oy-0,x,yes,Jonas Siegemund,000006,000006,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20240925,N4,6,L,St-0,x,yes,Jonas Siegemund,000007,000007,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240925,N4,6,L,St-0,x,yes,Jonas Siegemund,000008,000008,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240925,N4,6,L,St-0,_006,yes,Jonas Siegemund,000009,000009,no_need,,,testing,testing,training
20240925,N4,6,L,St-0,_007,yes,Jonas Siegemund,000010,000010,no_need,,,testing,testing,training
20240925,N4,6,L,St-0,_008,yes,Jonas Siegemund,000011,000011,no_need,,,testing,testing,training
20240925,N4,6,L,St-0,_009,yes,Jonas Siegemund,000012,000012,no_need,,,testing,testing,training
20240925,N4,6,L,Uk-1,_007,yes,Jonas Siegemund,000013,000013,no_need,,,testing,testing,training
20240925,N4,6,L,Uk-1,_008,yes,Jonas Siegemund,000014,000014,no_need,,,testing,testing,training
20240925,N4,6,L,Uk-1,_009,yes,Jonas Siegemund,000015,000015,no_need,,,testing,testing,training
20240925,N4,6,L,Uk-1,_010,yes,Isabel Fisch,000016,000016,no_need,,,testing,testing,training
20240925,N4,11,L,Oy-0,_008,yes,Isabel Fisch,000007,000007,no_need,,,testing,testing,training
20240925,N4,11,L,Oy-0,_009,yes,Florian Müller,000008,000008,no_need,,,testing,testing,training
20240925,N4,11,L,Oy-0,_010,yes,Florian Müller,000009,000009,no_need,,,testing,testing,training
20240925,N4,11,L,St-0,_010,yes,Isabel Fisch,000013,000013,no_need,,,testing,testing,training
20240926,N4,1,L,Kondara,_001,yes,Jonas Siegemund,000001,000001,no_need,,,testing,testing,testing
20240926,N4,1,L,Kondara,_002,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,testing
20240926,N4,1,L,Kondara,_003,yes,Jonas Siegemund,000003,000003,no_need,,,testing,testing,testing
20240926,N4,1,L,Kondara,_004,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,training
20240926,N4,1,L,Kondara,_005,yes,Jonas Siegemund,000005,000005,no_need,,,testing,testing,training
20240926,N4,1,L,Kondara,x,yes,Jonas Siegemund,000006,000006,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240926,N4,1,L,Col-0,x,no,,000007,000007,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240926,N4,1,L,Col-0,_001,no,,000008,000008,no_need,,,testing,testing,testing
20240926,N4,1,L,Col-0,_002,no,,000009,000009,no_need,,,testing,testing,testing
20240926,N4,1,L,Col-0,x,no,,000010,000010,no_need,1. no germination of seedling,,ignore,ignore,ignore
20240926,N4,1,L,Col-0,x,no,,000011,000011,no_need,1. no germination of seedling,,ignore,ignore,ignore
20240926,N4,1,L,Col-0,_003,no,,000012,000012,no_need,,,testing,testing,testing
20240926,N4,1,L,Bay-0,_001,yes,Jonas Siegemund,000013,000013,no_need,,,testing,testing,testing
20240926,N4,1,L,Bay-0,_002,yes,Jonas Siegemund,000014,000014,no_need,,,testing,testing,testing
20240926,N4,1,L,Bay-0,_003,yes,Jonas Siegemund,000015,000015,no_need,,,testing,testing,testing
20240926,N4,1,L,Bay-0,x,yes,Jonas Siegemund,000016,000016,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240926,N4,1,L,Bay-0,_004,yes,Jonas Siegemund,000017,000017,no_need,,,testing,testing,training
20240926,N4,1,L,Bay-0,_005,yes,Isabel Fisch,000018,000018,no_need,,,testing,testing,training
20240926,N4,6,L,Col-0,x,no,,000001,000001,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20240926,N4,6,L,Col-0,_004,no,,000002,000002,no_need,,,testing,testing,training
20240926,N4,6,L,Col-0,_005,no,,000003,000003,no_need,,,testing,testing,training
20240926,N4,6,L,Col-0,_006,no,,000004,000004,no_need,,,testing,testing,training
20240926,N4,6,L,Col-0,_007,no,,000005,000005,no_need,,,testing,testing,training
20240926,N4,6,L,Col-0,x,no,,000006,000006,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240926,N4,6,L,Bay-0,_006,yes,Isabel Fisch,000007,000007,no_need,,,testing,testing,training
20240926,N4,6,L,Bay-0,x,yes,Isabel Fisch,000008,000008,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240926,N4,6,L,Bay-0,_007,yes,Isabel Fisch,000009,000009,no_need,,,testing,testing,training
20240926,N4,6,L,Bay-0,x,yes,Isabel Fisch,000010,000010,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240926,N4,6,L,Bay-0,_008,yes,Isabel Fisch,000011,000011,no_need,,,testing,testing,training
20240926,N4,6,L,Bay-0,_009,yes,Isabel Fisch,000012,000012,no_need,,,testing,testing,training
20240926,N4,6,L,Kondara,_006,yes,Isabel Fisch,000013,000013,no_need,,,testing,testing,training
20240926,N4,6,L,Kondara,_007,yes,Isabel Fisch,000014,000014,no_need,,,testing,testing,training
20240926,N4,6,L,Kondara,_008,yes,Isabel Fisch,000015,000015,no_need,,,testing,testing,training
20240926,N4,6,L,Kondara,_009,yes,Jonas Siegemund,000016,000016,no_need,,,testing,testing,training
20240926,N4,6,L,Kondara,_010,yes,Jonas Siegemund,000017,000017,no_need,,,testing,testing,training
20240926,N4,11,L,Bay-0,_010,yes,Jonas Siegemund,000001,000001,no_need,,,testing,testing,training
20240926,N4,11,L,Col-0,x,no,,000007,000007,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240926,N4,11,L,Col-0,x,no,,000008,000008,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240926,N4,11,L,Col-0,_008,no,,000009,000009,no_need,,,testing,testing,training
20240926,N4,11,L,Col-0,_009,no,,000010,000010,no_need,,,testing,testing,training
20240926,N4,11,L,Col-0,_010,no,,000011,000011,no_need,,,testing,testing,training
20241002,N4,1,L,Hs-0,x,yes,Jonas Siegemund,000001,000001,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20241002,N4,1,L,Hs-0,_001,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,testing
20241002,N4,1,L,Hs-0,_002,yes,Jonas Siegemund,000003,000003,no_need,,,testing,testing,testing
20241002,N4,1,L,Hs-0,_003,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,testing
20241002,N4,1,L,Hs-0,_004,yes,Jonas Siegemund,000005,000005,no_need,,,testing,testing,training
20241002,N4,1,L,Hs-0,_005,yes,Jonas Siegemund,000006,000006,no_need,,,testing,testing,training
20241002,N4,1,L,Cvi-0,_001,yes,Jonas Siegemund,000007,000007,no_need,,,testing,testing,testing
20241002,N4,1,L,Cvi-0,_002,yes,Jonas Siegemund,000008,000008,no_need,,,testing,testing,testing
20241002,N4,1,L,Cvi-0,_003,yes,Jonas Siegemund,000009,000009,no_need,,,testing,testing,testing
20241002,N4,1,L,Cvi-0,_004,yes,Jonas Siegemund,000010,000010,no_need,,,testing,testing,training
20241002,N4,1,L,Cvi-0,_005,yes,Jonas Siegemund,000011,000011,no_need,,,testing,testing,training
20241002,N4,1,L,Cvi-0,_006,yes,Isabel Fisch,000012,000012,no_need,,,testing,testing,training
20241002,N4,1,L,No-0,_001,yes,Isabel Fisch,000013,000013,no_need,,,testing,testing,testing
20241002,N4,1,L,No-0,_002,yes,Isabel Fisch,000014,000014,no_need,,,testing,testing,testing
20241002,N4,1,L,No-0,_003,yes,Isabel Fisch,000015,000015,no_need,,,testing,testing,testing
20241002,N4,1,L,No-0,_004,yes,Jonas Siegemund,000016,000016,no_need,,,testing,testing,training
20241002,N4,1,L,No-0,_005,yes,Jonas Siegemund,000017,000017,no_need,,,testing,testing,training
20241002,N4,1,L,No-0,_006,yes,Jonas Siegemund,000018,000018,no_need,,,testing,testing,training
20241002,N4,6,L,Cvi-0,_007,yes,Jonas Siegemund,000001,000001,no_need,,,testing,testing,training
20241002,N4,6,L,Cvi-0,_008,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,training
20241002,N4,6,L,Cvi-0,_009,yes,Jonas Siegemund,000003,000003,no_need,,,testing,testing,training
20241002,N4,6,L,Cvi-0,_010,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,training
20241002,N4,6,L,Hs-0,_006,yes,Isabel Fisch,000007,000007,no_need,,,testing,testing,training
20241002,N4,6,L,Hs-0,_007,yes,Isabel Fisch,000008,000008,no_need,,,testing,testing,training
20241002,N4,6,L,Hs-0,x,yes,Isabel Fisch,000009,000009,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20241002,N4,6,L,Hs-0,_008,yes,Isabel Fisch,000010,000010,no_need,,,testing,testing,training
20241002,N4,6,L,Hs-0,x,yes,Isabel Fisch,000011,000011,no_need,1. no germination of seedling,,ignore,ignore,ignore
20241002,N4,6,L,Hs-0,_009,yes,Isabel Fisch,000012,000012,no_need,,,testing,testing,training
20241002,N4,6,L,No-0,x,yes,Isabel Fisch,000013,000013,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20241002,N4,6,L,No-0,x,yes,Isabel Fisch,000014,000014,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20241002,N4,6,L,No-0,_007,yes,Isabel Fisch,000015,000015,no_need,,,testing,testing,training
20241002,N4,6,L,No-0,x,yes,Jonas Siegemund,000016,000016,no_need,1. no germination of seedling,,ignore,ignore,ignore
20241002,N4,6,L,No-0,_008,yes,Jonas Siegemund,000017,000017,no_need,,,testing,testing,training
20241002,N4,6,L,No-0,_009,yes,Jonas Siegemund,000018,000018,no_need,,,testing,testing,training
20241002,N4,11,L,No-0,_010,yes,Jonas Siegemund,000007,000007,no_need,,,testing,testing,training
20241002,N4,11,L,Hs-0,x,yes,Jonas Siegemund,000013,000013,no_need,3. root grew into the agar,,ignore,ignore,ignore
20241002,N4,11,L,Hs-0,_010,yes,Jonas Siegemund,000014,000014,no_need,,,testing,testing,training
20241023,N4,1,L,Nd-1,_001,yes,Jonas Siegemund,000001,000001,no_need,,,testing,testing,testing
20241023,N4,1,L,Nd-1,_002,yes,Jonas Siegemund,000002,000002,no_need,,,testing,testing,testing
20241023,N4,1,L,Nd-1,_003,yes,Jonas Siegemund,000003,000003,no_need,,,testing,testing,testing
20241023,N4,1,L,Nd-1,_004,yes,Jonas Siegemund,000004,000004,no_need,,,testing,testing,training
20241023,N4,1,L,Nd-1,_005,yes,Jonas Siegemund,000005,000005,no_need,,,testing,testing,training
20241023,N4,1,L,Nd-1,_006,yes,Jonas Siegemund,000006,000006,no_need,,,testing,testing,training
20241023,N4,1,L,Pro-0,_001,yes,Jonas Siegemund,000007,000007,no_need,,,testing,testing,testing
20241023,N4,1,L,Pro-0,x,yes,Jonas Siegemund,000008,000008,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20241023,N4,1,L,Pro-0,x,yes,Jonas Siegemund,000009,000009,no_need,1. no germination of seedling,,ignore,ignore,ignore
20241023,N4,1,L,Pro-0,_002,yes,Jonas Siegemund,000010,000010,no_need,,,testing,testing,testing
20241023,N4,1,L,Pro-0,x,yes,Jonas Siegemund,000011,000011,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20241023,N4,1,L,Pro-0,_003,yes,Jonas Siegemund,000012,000012,no_need,,,testing,testing,testing
20241023,N4,1,L,Wa-1,x,yes,Jonas Siegemund,000013,000013,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20241023,N4,1,L,Wa-1,_001,yes,Jonas Siegemund,000014,000014,no_need,,,testing,testing,testing
20241023,N4,1,L,Wa-1,_002,yes,Jonas Siegemund,000015,000015,no_need,,,testing,testing,testing
20241023,N4,1,L,Wa-1,_003,yes,Jonas Siegemund,000016,000016,no_need,,,testing,testing,testing
20241023,N4,1,L,Wa-1,_004,yes,Jonas Siegemund,000017,000017,no_need,,,testing,testing,training
20241023,N4,1,L,Wa-1,_005,yes,Jonas Siegemund,000018,000018,no_need,,,testing,testing,training
20241023,N4,6,L,Pro-0,_004,yes,Madhura Kulkarni,000001,000001,no_need,,,testing,testing,training
20241023,N4,6,L,Pro-0,_005,yes,Madhura Kulkarni,000002,000002,no_need,,,testing,testing,training
20241023,N4,6,L,Pro-0,_006,yes,Madhura Kulkarni,000003,000003,no_need,,,testing,testing,training
20241023,N4,6,L,Pro-0,_007,in progess,Madhura Kulkarni,000004,000004,no_need,,,testing,testing,training
20241023,N4,6,L,Pro-0,x,yes ,Jonas Siegemund,000005,000005,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20241023,N4,6,L,Pro-0,_008,yes ,Jonas Siegemund,000006,000006,no_need,,,testing,testing,training
20241023,N4,6,L,Wa-1,_006,yes ,Marjan Karami,000007,000007,no_need,,,testing,testing,training
20241023,N4,6,L,Wa-1,_007,yes ,Jonas Siegemund,000008,000008,no_need,,,testing,testing,training
20241023,N4,6,L,Wa-1,x,no,,000009,000009,no_need,3. root grew into the agar,,ignore,ignore,ignore
20241023,N4,6,L,Wa-1,_008,in progess,Marjan Karami,000010,000010,no_need,,,testing,testing,training
20241023,N4,6,L,Wa-1,_009,no,,000011,000011,no_need,,,testing,testing,training
20241023,N4,6,L,Wa-1,_010,no,,000012,000012,no_need,,,testing,testing,training
20241023,N4,6,L,Nd-1,_007,no,,000013,000013,no_need,,,testing,testing,training
20241023,N4,6,L,Nd-1,_008,no,,000014,000014,no_need,,,testing,testing,training
20241023,N4,6,L,Nd-1,_009,no,,000015,000015,no_need,,,testing,testing,training
20241023,N4,6,L,Nd-1,_010,no,,000016,000016,no_need,,,testing,testing,training
20241023,N4,11,L,Pro-0,_009,yes ,Mahsaa Hosseinalipour,000013,000013,no_need,,,testing,testing,training
20241023,N4,11,L,Pro-0,_010,yes ,Mahsaa Hosseinalipour,000014,000014,no_need,,,testing,testing,training
20241024,N4,1,L,Mt-0,x,no,,000001,000001,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20241024,N4,1,L,Mt-0,x,no,,000002,000002,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20241024,N4,1,L,Mt-0,_001,no,Mahsaa Hosseinalipour,000003,000003,no_need,,,testing,testing,testing
20241024,N4,1,L,Mt-0,_002,no,,000004,000004,no_need,,,testing,testing,testing
20241024,N4,1,L,Mt-0,_003,no,,000005,000005,no_need,,,testing,testing,testing
20241024,N4,1,L,Mt-0,_004,no,,000006,000006,no_need,,,testing,testing,training
20241024,N4,1,L,Fei-0,_001,no,,000007,000007,no_need,,,testing,testing,testing
20241024,N4,1,L,Fei-0,_002,no,,000008,000008,no_need,,,testing,testing,testing
20241024,N4,1,L,Fei-0,_003,no,,000009,000009,no_need,,,testing,testing,testing
20241024,N4,1,L,Fei-0,_004,no,,000010,000010,no_need,,,testing,testing,training
20241024,N4,1,L,Fei-0,_005,no,,000011,000011,no_need,,,testing,testing,training
20241024,N4,1,L,Fei-0,_006,no,,000012,000012,no_need,,,testing,testing,training
20241024,N4,1,L,Bur-0,x,no,,000013,000013,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20241024,N4,1,L,Bur-0,_001,no,,000014,000014,no_need,,,testing,testing,testing
20241024,N4,1,L,Bur-0,_002,no,,000015,000015,no_need,,,testing,testing,testing
20241024,N4,1,L,Bur-0,_003,no,,000016,000016,no_need,,,testing,testing,testing
20241024,N4,1,L,Bur-0,_004,no,,000017,000017,no_need,,,testing,testing,training
20241024,N4,1,L,Bur-0,x,no,,000018,000018,no_need,3. root grew into the agar,,ignore,ignore,ignore
20241024,N4,6,L,Mt-0,_005,no,,000001,000001,no_need,,,testing,testing,training
20241024,N4,6,L,Mt-0,_006,no,,000002,000002,no_need,,,testing,testing,training
20241024,N4,6,L,Mt-0,_007,no,,000003,000003,no_need,,,testing,testing,training
20241024,N4,6,L,Mt-0,_008,no,,000004,000004,no_need,,,testing,testing,training
20241024,N4,6,L,Mt-0,x,no,,000005,000005,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
